rank,geneSymbol,mean_any_alter_freq,mean_mut_freq,mean_any_cna_freq,mean_amp_freq,mean_deep_del_freq,max_any_alter_freq,n_studies
1,PIK3CA,0.4574669817369305,0.09487104179011265,0.40546149074386767,0.04851593992233003,0.0006751697573691782,0.9194214876033058,32
2,AKT3,0.417665406644913,0.007825113634413806,0.41290639991459804,0.020841606129641855,0.004242195866207653,0.7846153846153846,32
3,MTOR,0.40679367129281413,0.027567322217258914,0.38751176391736575,0.004490664203706295,0.0062278101817115124,0.8461538461538461,32
4,PTEN,0.4010787855753836,0.06627332528081886,0.3709652686623661,0.0020498192193756115,0.03371207980655529,0.9289473684210526,32
5,PIK3CB,0.3832501174037109,0.01259685433120199,0.37538673011717666,0.014528757259837311,0.0007099962112156256,0.8202479338842975,32
6,PIK3R1,0.3818669109839732,0.028803408425081452,0.36175824435463766,0.0016783431530386645,0.005524229888464306,0.8099173553719008,32
7,RPTOR,0.377402630926015,0.013610145147973627,0.3688048598717457,0.015545145830081908,0.001971045751735669,0.75,32
8,TSC1,0.376494651307396,0.016890975427664757,0.3650615301749733,0.004240448063440547,0.0036828190905617434,0.8214285714285714,32
9,STK11,0.3764707543341694,0.012689161746722404,0.3719530006252658,0.006878389304324515,0.006542979685685353,0.9197651663405088,32
10,AKT1,0.3717324612937549,0.006909574617599389,0.36651736956170305,0.007918068148069415,0.005522047103154593,0.6964285714285714,32
11,RICTOR,0.36415740120365364,0.01620422500364766,0.3543138245043932,0.024390553499626096,0.0006226311057705692,0.8057851239669421,32
12,INPP4B,0.36149141909696164,0.014577004189955056,0.350088340937336,0.0051107630950013834,0.0038778471778443684,0.75,32
13,TSC2,0.35723358518816667,0.019910887741984185,0.34555611293558386,0.006814150684604682,0.0020857525723695577,0.7857142857142857,32
14,AKT2,0.34753426150503947,0.006711899154569062,0.34197086220785106,0.01780400482367346,0.0004725974449979548,0.8392857142857143,32
15,PIK3R2,0.33318525899684687,0.0081402356834741,0.32748467460956826,0.00876127069427879,0.0007309404422528121,0.7678571428571429,32
